c_circ,nce,idservel,local,kei,c_reg,c_prov,c_com,c_csen
7103,VIÑA DEL MAR,469,ALIANZA FRANCESA,ALIANZA FRANCESA0p0VIÑA DEL MAR,3005,4051,2547,5006
7103,VIÑA DEL MAR,455,COLEGIO ANA MARIA JANER L1,COLEGIO ANA MARIA JANER L10p0VIÑA DEL MAR,3005,4051,2547,5006
7103,VIÑA DEL MAR,445,COLEGIO COMPAÑIA DE MARIA L1,COLEGIO COMPAÑIA DE MARIA L10p0VIÑA DEL MAR,3005,4051,2547,5006
7103,VIÑA DEL MAR,446,COLEGIO COMPAÑIA DE MARIA L2,COLEGIO COMPAÑIA DE MARIA L20p0VIÑA DEL MAR,3005,4051,2547,5006
7103,VIÑA DEL MAR,478,COLEGIO HISPANOAMERICANO VIÑA DEL MAR L1,COLEGIO HISPANOAMERICANO VIÑA DEL MAR L10p0VIÑA DEL MAR,3005,4051,2547,5006
7103,VIÑA DEL MAR,439,COLEGIO INMACULADA DE LOURDES,COLEGIO INMACULADA DE LOURDES0p0VIÑA DEL MAR,3005,4051,2547,5006
7103,VIÑA DEL MAR,456,COLEGIO JUANITA FERNANDEZ,COLEGIO JUANITA FERNANDEZ0p0VIÑA DEL MAR,3005,4051,2547,5006
7103,VIÑA DEL MAR,479,COLEGIO MANANTIAL,COLEGIO MANANTIAL0p0VIÑA DEL MAR,3005,4051,2547,5006
7103,VIÑA DEL MAR,457,COLEGIO MIRAFLORES D-329,COLEGIO MIRAFLORES D-3290p0VIÑA DEL MAR,3005,4051,2547,5006
7103,VIÑA DEL MAR,474,COLEGIO PRESIDENTE PEDRO AGUIRRE CERDA,COLEGIO PRESIDENTE PEDRO AGUIRRE CERDA0p0VIÑA DEL MAR,3005,4051,2547,5006
7103,VIÑA DEL MAR,471,COLEGIO REPUBLICA DE COLOMBIA,COLEGIO REPUBLICA DE COLOMBIA0p0VIÑA DEL MAR,3005,4051,2547,5006
7103,VIÑA DEL MAR,440,COLEGIO SAGRADOS CORAZONES MONJAS FRANCESAS,COLEGIO SAGRADOS CORAZONES MONJAS FRANCESAS0p0VIÑA DEL MAR,3005,4051,2547,5006
7103,VIÑA DEL MAR,458,COLEGIO SAN IGNACIO (SEDE LUSITANIA),COLEGIO SAN IGNACIO (SEDE LUSITANIA)0p0VIÑA DEL MAR,3005,4051,2547,5006
7103,VIÑA DEL MAR,2810,COLEGIO SAN NICOLAS,COLEGIO SAN NICOLAS0p0VIÑA DEL MAR,3005,4051,2547,5006
7103,VIÑA DEL MAR,449,COLEGIO SEMINARIO SAN RAFAEL,COLEGIO SEMINARIO SAN RAFAEL0p0VIÑA DEL MAR,3005,4051,2547,5006
7103,VIÑA DEL MAR,448,COLEGIO WINTERHILL,COLEGIO WINTERHILL0p0VIÑA DEL MAR,3005,4051,2547,5006
7103,VIÑA DEL MAR,472,CORPORACION DOCENTE SAINT DOMINIC L1,CORPORACION DOCENTE SAINT DOMINIC L10p0VIÑA DEL MAR,3005,4051,2547,5006
7103,VIÑA DEL MAR,473,CORPORACION DOCENTE SAINT DOMINIC L2,CORPORACION DOCENTE SAINT DOMINIC L20p0VIÑA DEL MAR,3005,4051,2547,5006
