idservel,electores
2564,16468
2801,6087
2674,5467
2523,4843
2502,65320
2717,38328
2528,11215
2696,46618
2752,172
2508,295941
2662,4547
2655,31386
2822,183906
2739,22528
2797,83176
2827,20892
2554,17938
2751,1679
2663,26211
2512,129760
2708,33132
2518,15656
2559,44669
2798,22562
2550,12077
2823,2262
2504,2194
2533,9229
2656,29712
2676,24070
2565,20345
2542,23781
2716,42116
2570,12240
2622,37366
2759,64676
2760,109706
2733,4810
2623,9032
2520,11349
2603,13936
2644,68876
2745,6360
2826,156804
2828,23876
2604,31097
2695,11510
2718,13767
2740,4697
2836,5692
2709,4601
2742,3333
2580,11786
2837,15053
2843,23299
2581,7511
2635,19613
2505,2352
2793,101623
2697,21974
2582,17083
2537,12245
2642,200307
2761,112601
2543,44318
2613,39910
2657,5930
2517,125412
2527,182884
2643,92139
2811,5548
2737,54143
2677,20433
2698,21044
2802,28745
2719,3695
2658,29437
2678,8787
2614,10106
2625,122429
2720,13423
2521,11895
2583,18940
2762,132617
2829,12369
2806,28949
2566,16399
2567,14974
2615,4262
2699,7730
2763,124530
2645,10852
2679,23224
2524,6130
2710,12342
2711,18566
2734,3932
2819,15223
2680,11872
2825,1388
2681,15348
2584,27700
2741,1550
2560,16137
2735,8995
2626,9718
2653,76901
2646,21179
2506,4146
2525,8522
2764,76395
2532,27907
2765,85420
2501,164394
2807,29821
2548,6503
2544,854
2766,80753
2561,17641
2597,4000
2767,307142
2768,98518
2529,4568
2553,31511
2769,135142
2770,89762
2526,192036
2818,35422
2820,10186
2738,1072
2748,630
2664,21512
2794,69681
2812,16831
2585,22010
2771,277969
2682,35384
2654,21909
2627,6880
2576,41900
2634,83133
2598,7354
2571,21340
2713,16555
2772,88001
2773,84709
2774,83481
2605,7107
2683,23751
2636,28390
2700,12032
2659,18415
2549,56069
2661,170364
2813,19274
2712,16727
2701,7143
2534,19163
2647,45611
2702,8745
2586,41154
2775,99797
2814,7395
2776,394110
2587,12651
2599,7556
2516,5277
2803,12606
2815,19865
2616,28394
2714,15159
2509,10301
2684,7800
2800,101932
2628,40544
2538,27917
2588,21982
2665,26276
2666,24088
2606,15513
2756,23372
2600,7641
2667,9331
2838,5768
2562,19762
2685,31086
2844,11119
2777,203572
2743,710
2589,12784
2513,1298
2577,17277
2726,143718
2536,93740
2808,52030
2686,61806
2530,5192
2816,19582
2799,58500
2736,2218
2607,10827
2817,36712
2572,6710
2555,6681
2601,7109
2637,38548
2778,88382
2617,9168
2624,8034
2830,8166
2618,10151
2648,42442
2809,74521
2779,188355
2608,10505
2687,6839
2556,9296
2590,12938
2507,5481
2591,17508
2596,18147
2831,12034
2791,24665
2688,23994
2609,8430
2839,5583
2753,5957
2503,11918
2754,974
2780,169333
2545,18685
2689,32276
2781,172488
2790,408329
2707,200219
2727,9050
2715,46659
2610,4233
2539,10852
2747,121693
2721,4298
2703,11839
2728,19515
2573,14384
2824,3911
2729,11924
2722,5942
2723,23787
2724,8941
2668,4388
2782,146573
2669,9477
2832,16771
2558,77390
2575,139758
2725,8861
2592,12625
2783,100261
2546,26934
2835,10675
2579,197599
2840,5885
2629,10188
2784,136576
2704,9717
2785,113898
2593,50168
2594,23909
2638,18645
2551,10010
2821,30480
2619,12708
2540,4768
2746,2996
2730,13189
2749,602
2630,14424
2690,12956
2631,16479
2535,23992
2563,79469
2796,228502
2842,47909
2620,38857
2552,15966
2845,5193
2569,60624
2602,63658
2750,557
2833,15085
2639,40977
2786,79123
2792,16115
2731,8214
2787,108749
2846,12346
2732,10059
2804,8804
2514,7685
2649,96861
2621,9252
2788,75954
2670,4133
2595,41821
2671,13328
2611,32762
2650,13099
2574,12465
2758,350328
2568,12851
2510,1935
2805,60317
2612,185403
2651,129506
2511,10187
2675,243253
2632,25879
2691,14187
2519,12272
2795,15400
2755,511
2660,8996
2515,21520
2692,10372
2652,50179
2757,1373
2744,547
2705,17877
2841,5901
2672,13690
2810,143779
2522,45740
2541,283509
2633,4886
2706,32006
2531,24273
2693,25547
2640,14480
2578,106663
2694,61069
2547,306860
2789,87138
2641,16049
2673,20618
2834,16768
2557,9625
