idservel,electores
469,10000
455,3039
445,5200
446,2491
478,10970
439,8800
456,6592
479,6464
457,8037
474,5745
471,8000
440,4570
458,8000
2810,8342
449,10000
448,2763
472,6000
473,6000
450,10000
459,3922
480,4333
463,4319
441,4163
464,5200
465,4799
466,3426
451,4512
452,2657
443,5663
467,3734
2847,2966
454,7733
444,2052
468,4578
2607,5200
2608,4802
442,4989
460,6153
2741,5950
2606,2589
475,3115
453,9600
461,3256
481,4456
483,9600
484,7981
482,8345
476,4800
462,7200
470,7600
477,4554
2809,4800
447,6800
1344,1311
1341,3891
1343,807
1338,5200
1342,1625
1339,4894
1340,4800
1544,7200
2714,6400
2735,7200
1536,4800
1531,6800
1532,6800
1539,5143
1541,5665
1543,9600
1545,4800
1533,4000
1535,9323
1537,5600
1538,5199
1546,4000
1542,5600
1540,6400
1529,7200
1530,7200
1534,5600
237,4201
238,2400
2610,3467
2531,6400
1416,6087
769,2966
770,1632
771,869
133,2316
134,1070
132,1457
5,3264
2929,56
6,6400
3,5600
7,6000
8,6400
10,6400
1,6400
4,6400
9,6400
2,5600
11,6400
1180,9095
2645,4800
1182,8000
1184,2080
1183,3165
2644,6000
1181,5188
163,3600
162,7615
1000,5600
1002,4800
2694,4000
1007,6000
1001,5600
1003,4809
1004,4800
1008,1321
1005,4800
1006,4888
1373,172
2927,142
57,6446
78,4718
79,5714
58,5154
80,8000
59,4440
60,8368
81,6808
84,6679
61,5862
82,6392
83,8000
62,7953
63,6000
64,6468
65,8000
66,6048
67,7987
68,8073
70,2153
69,7144
71,5740
85,4681
72,8434
86,6465
87,8000
88,7602
89,8000
97,4778
90,9600
91,8000
73,7596
92,8000
93,10400
74,8271
75,9200
76,11041
94,5785
77,7981
2912,4101
95,6767
96,8950
2695,763
2826,3784
780,1504
772,5491
777,4030
773,3309
779,1615
774,4673
776,4863
775,4266
778,1635
2385,677
2930,60
2373,5200
2794,3198
2387,5627
2730,3528
2729,2776
2374,5595
2375,4796
2355,2819
2356,3334
2907,1856
2384,4799
2357,6800
2388,4068
2358,4831
2376,4984
2359,3545
2392,4793
2389,4613
2360,2182
2390,2914
2391,4459
2361,4275
2362,5022
2363,3439
2364,4399
2365,3922
2377,2449
2687,1217
2393,4648
2779,764
2366,1629
2378,4790
2367,2868
2368,2800
2379,2550
2381,2729
2369,4483
2370,8215
2371,3540
2556,601
2386,6553
2394,2584
2382,5998
2380,4798
2395,4879
2372,2505
2383,4795
1606,8196
1588,6000
1589,6000
1618,7639
1604,9428
1616,9600
1619,6400
1620,6400
1623,3600
1624,5200
1607,5553
1631,4800
1608,7200
1592,7600
1593,4800
1610,6177
1625,6400
1626,6400
1609,9600
1594,7600
1595,7600
1602,9600
1605,6400
1596,6400
1597,6400
1612,5600
1613,3285
1627,6400
1628,6400
1611,3177
1598,8000
1599,8000
1621,6000
1622,6000
1600,8179
