idr,re,co,cc,lo,me
3015,DE ARICA Y PARINACOTA,ARICA,ARICA,ESCUELA E-1 REPUBLICA DE ARGENTINA,196M-197M
3015,DE ARICA Y PARINACOTA,ARICA,ARICA,ESCUELA E-1 REPUBLICA DE ARGENTINA,215M-216M
3015,DE ARICA Y PARINACOTA,ARICA,ARICA,ESCUELA D-4 REPUBLICA DE ISRAEL,91V-92V
3015,DE ARICA Y PARINACOTA,ARICA,ARICA,ESCUELA D-4 REPUBLICA DE ISRAEL,110V-111V
3015,DE ARICA Y PARINACOTA,ARICA,ARICA,COLEGIO SAUCACHE,228V-259V
3015,DE ARICA Y PARINACOTA,ARICA,ARICA NORTE,COLEGIO D-91 CENTENARIO,22
3015,DE ARICA Y PARINACOTA,ARICA,SAN MIGUEL DE AZAPA,LICEO AGRICOLA JOSE ABELARDO NUÑEZ ,2M
3015,DE ARICA Y PARINACOTA,ARICA,SECTOR EX BARRIO INDUSTRIAL DE ARICA,ESCUELA D-18 HUMBERTO VALENZUELA GARCIA,10
3015,DE ARICA Y PARINACOTA,ARICA,SECTOR EX BARRIO INDUSTRIAL DE ARICA,COLEGIO SAN MARCOS DE ARICA,111
3015,DE ARICA Y PARINACOTA,PUTRE,BELEN,ESCUELA SAN SANTIAGO DE BELEN,1M-2M-3M
3001,DE TARAPACA,ALTO HOSPICIO,ALTO HOSPICIO,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,36M
3001,DE TARAPACA,IQUIQUE,IQUIQUE,LICEO LUIS CRUZ MARTINEZ,4M
3001,DE TARAPACA,IQUIQUE,IQUIQUE,COLEGIO DIOCESANO OBISPO LABBE,114M
3001,DE TARAPACA,IQUIQUE,IQUIQUE,LICEO LIBERTADOR GENERAL BERNARDO O´HIGGINS,208M
3001,DE TARAPACA,IQUIQUE,IQUIQUE,LICEO DEPORTIVO ELENA DUVAUCHELLE CABEZON,20V
3001,DE TARAPACA,IQUIQUE,IQUIQUE,ESCUELA GABRIELA MISTRAL,32V
3001,DE TARAPACA,IQUIQUE,IQUIQUE,COLEGIO REPUBLICA DE CROACIA,76V
3001,DE TARAPACA,IQUIQUE,IQUIQUE,COLEGIO ACADEMIA TARAPACA,204V
3001,DE TARAPACA,IQUIQUE,IQUIQUE,LICEO PRESIDENTE ANIBAL PINTO GARMENDIA.,221V
3001,DE TARAPACA,IQUIQUE,IQUIQUE,COLEGIO ADVENTISTA,238V
3001,DE TARAPACA,IQUIQUE,IQUIQUE SUR,ESCUELA PROFESOR MANUEL CASTRO RAMOS,38
3001,DE TARAPACA,IQUIQUE,IQUIQUE SUR,COLEGIO ESPANA,72
3002,DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA NORTE,ESCUELA ESPAÑA,1M-306
3002,DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA NORTE,LICEO LA PORTADA,34M
3002,DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA NORTE,ESCUELA GUSTAVO LE PAIGE WALQUE,51M
3002,DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA NORTE,ESCUELA GUSTAVO LE PAIGE WALQUE,58M
3002,DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA NORTE,ESCUELA JOSE PAPIC RADNIC,65M
