re,co,cc,lo,me
DE ARICA Y PARINACOTA,ARICA,ARICA,COLEGIO SAUCACHE,228V-259V
DE ARICA Y PARINACOTA,ARICA,ARICA,ESCUELA D-4 REPUBLICA DE ISRAEL,91V-92V
DE ARICA Y PARINACOTA,ARICA,ARICA,ESCUELA D-4 REPUBLICA DE ISRAEL,110V-111V
DE ARICA Y PARINACOTA,ARICA,ARICA,ESCUELA E-1 REPUBLICA DE ARGENTINA,196M-197M
DE ARICA Y PARINACOTA,ARICA,ARICA,ESCUELA E-1 REPUBLICA DE ARGENTINA,215M-216M
DE ARICA Y PARINACOTA,ARICA,ARICA NORTE,COLEGIO D-91 CENTENARIO,22
DE ARICA Y PARINACOTA,ARICA,SAN MIGUEL DE AZAPA,LICEO AGRICOLA JOSE ABELARDO NUÑEZ ,2M
DE ARICA Y PARINACOTA,ARICA,SECTOR EX BARRIO INDUSTRIAL DE ARICA,COLEGIO SAN MARCOS DE ARICA,111
DE ARICA Y PARINACOTA,ARICA,SECTOR EX BARRIO INDUSTRIAL DE ARICA,ESCUELA D-18 HUMBERTO VALENZUELA GARCIA,10
DE ARICA Y PARINACOTA,PUTRE,BELEN,ESCUELA SAN SANTIAGO DE BELEN,1M-2M-3M
DE TARAPACA,ALTO HOSPICIO,ALTO HOSPICIO,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,36M
DE TARAPACA,IQUIQUE,IQUIQUE,COLEGIO ACADEMIA TARAPACA,204V
DE TARAPACA,IQUIQUE,IQUIQUE,COLEGIO ADVENTISTA,238V
DE TARAPACA,IQUIQUE,IQUIQUE,COLEGIO DIOCESANO OBISPO LABBE,114M
DE TARAPACA,IQUIQUE,IQUIQUE,COLEGIO REPUBLICA DE CROACIA,76V
DE TARAPACA,IQUIQUE,IQUIQUE,ESCUELA GABRIELA MISTRAL,32V
DE TARAPACA,IQUIQUE,IQUIQUE,LICEO DEPORTIVO ELENA DUVAUCHELLE CABEZON,20V
DE TARAPACA,IQUIQUE,IQUIQUE,LICEO LIBERTADOR GENERAL BERNARDO O´HIGGINS,208M
DE TARAPACA,IQUIQUE,IQUIQUE,LICEO LUIS CRUZ MARTINEZ,4M
DE TARAPACA,IQUIQUE,IQUIQUE,LICEO PRESIDENTE ANIBAL PINTO GARMENDIA.,221V
DE TARAPACA,IQUIQUE,IQUIQUE SUR,COLEGIO ESPANA,72
DE TARAPACA,IQUIQUE,IQUIQUE SUR,ESCUELA PROFESOR MANUEL CASTRO RAMOS,38
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA NORTE,ESCUELA ECOLOGICA HUMBERTO GONZALEZ ECHEGOYEN,82M
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA NORTE,ESCUELA ESPAÑA,1M-306
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA NORTE,ESCUELA GENERAL MANUEL BAQUEDANO,297
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA NORTE,ESCUELA GUSTAVO LE PAIGE WALQUE,51M
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA NORTE,ESCUELA GUSTAVO LE PAIGE WALQUE,58M
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA NORTE,ESCUELA JOSE PAPIC RADNIC,65M
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA NORTE,ESCUELA LA BANDERA,56V
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA NORTE,LICEO LA PORTADA,34M
