fechahora,boric,kast,provoste,sichel,artes,enriquez,parisi,totmesas
2021-11-21 19:30:42.464409,150566,186829,84977,73744,8562,44919,88040,5106
2021-11-21 19:31:41.062352,150566,186829,84977,73744,8562,44919,88040,5106
2021-11-21 19:37:38.759881,150566,186829,84977,73744,8562,44919,88040,5106
2021-11-21 19:38:04.700837,150566,186829,84977,73744,8562,44919,88040,5106
2021-11-21 19:39:10.180806,150566,186829,84977,73744,8562,44919,88040,5106
2021-11-21 19:39:39.168677,150566,186829,84977,73744,8562,44919,88040,5106
2021-11-21 19:40:57.107631,286147,357358,159261,142881,16646,89002,167991,9365
2021-11-21 19:42:48.341918,286147,357358,159261,142881,16646,89002,167991,9365
2021-11-21 19:43:05.867665,286147,357358,159261,142881,16646,89002,167991,9365
2021-11-21 19:43:13.698989,286147,357358,159261,142881,16646,89002,167991,9365
2021-11-21 19:43:18.450518,286147,357358,159261,142881,16646,89002,167991,9365
2021-11-21 19:43:57.342084,286147,357358,159261,142881,16646,89002,167991,9365
2021-11-21 19:44:35.234108,286147,357358,159261,142881,16646,89002,167991,9365
2021-11-21 19:45:13.659089,286147,357358,159261,142881,16646,89002,167991,9365
2021-11-21 19:52:12.375382,286147,357358,159261,142881,16646,89002,167991,9365

2021-11-21 19:57:12.491408,453046,552218,242337,224152,26375,141790,260939,14144
2021-11-21 20:02:12.632605,453046,552218,242337,224152,26375,141790,260939,14144
2021-11-21 20:07:12.732349,453046,552218,242337,224152,26375,141790,260939,14144
2021-11-21 20:12:12.847709,453046,552218,242337,224152,26375,141790,260939,14144
2021-11-21 20:17:12.964588,630113,753996,327097,311023,36519,196730,357246,19002
2021-11-21 20:22:13.493749,630113,753996,327097,311023,36519,196730,357246,19002
2021-11-21 20:27:13.670568,795689,932252,402338,389468,46230,246493,442654,23270
2021-11-21 20:32:14.019280,795689,932252,402338,389468,46230,246493,442654,23270
2021-11-21 20:37:14.415839,795689,932252,402338,389468,46230,246493,442654,23270
2021-11-21 20:42:14.749011,960804,1109096,474487,469763,55613,295290,523921,27328
2021-11-21 20:47:14.891262,960804,1109096,474487,469763,55613,295290,523921,27328
2021-11-21 20:52:15.022868,960804,1109096,474487,469763,55613,295290,523921,27328
2021-11-21 20:57:15.153683,960804,1109096,474487,469763,55613,295290,523921,27328
2021-11-21 21:02:15.265265,1101196,1256726,533915,539196,63596,335975,591619,30722
2021-11-21 21:07:15.356362,1101196,1256726,533915,539196,63596,335975,591619,30722
2021-11-21 21:12:15.474528,1101196,1256726,533915,539196,63596,335975,591619,30722
2021-11-21 21:17:15.587722,1217943,1374796,583120,595384,70261,369956,646652,33501
2021-11-21 21:22:15.729908,1217943,1374796,583120,595384,70261,369956,646652,33501
2021-11-21 21:27:15.843888,1327957,1483095,627445,648430,76348,400998,696398,35970
2021-11-21 21:32:15.980048,1327957,1483095,627445,648430,76348,400998,696398,35970
2021-11-21 21:37:16.104274,1327957,1483095,627445,648430,76348,400998,696398,35970
2021-11-21 21:42:18.754426,1327957,1483095,627445,648430,76348,400998,696398,35970
2021-11-21 21:47:19.058011,1404241,1560899,658358,687294,80587,422440,731483,37765
2021-11-21 21:52:19.213816,1404241,1560899,658358,687294,80587,422440,731483,37765
2021-11-21 21:57:19.331837,1404241,1560899,658358,687294,80587,422440,731483,37765
2021-11-21 22:02:19.434217,1500843,1653342,695720,735352,85815,448303,772018,39896
2021-11-21 22:07:19.555716,1500843,1653342,695720,735352,85815,448303,772018,39896
2021-11-21 22:12:19.970815,1500843,1653342,695720,735352,85815,448303,772018,39896
2021-11-21 22:17:20.315135,1530016,1683412,707425,751016,87352,456199,783982,40537
2021-11-21 22:22:20.497604,1530016,1683412,707425,751016,87352,456199,783982,40537
2021-11-21 22:27:20.599200,1530016,1683412,707425,751016,87352,456199,783982,40537
2021-11-21 22:32:20.721125,1573004,1725653,724278,772613,89733,467947,802212,41505
2021-11-21 22:37:20.861835,1573004,1725653,724278,772613,89733,467947,802212,41505
2021-11-21 22:42:20.989993,1573004,1725653,724278,772613,89733,467947,802212,41505
2021-11-21 22:47:21.250703,1608008,1759646,737487,790254,91619,477235,815884,42288
2021-11-21 22:52:21.364479,1608008,1759646,737487,790254,91619,477235,815884,42288
2021-11-21 22:57:21.476364,1635715,1787470,747880,804668,93160,484320,827362,42914
2021-11-21 23:02:21.610555,1635715,1787470,747880,804668,93160,484320,827362,42914
2021-11-21 23:07:21.779658,1635715,1787470,747880,804668,93160,484320,827362,42914
2021-11-21 23:12:21.904615,1635715,1787470,747880,804668,93160,484320,827362,42914
2021-11-21 23:17:22.024435,1660349,1813462,758145,818324,94538,491375,838693,43488
