circelec,nce,idservel,local,kei
7103,AGUA SANTA,396,COLEGIO FRIENDLY HIGH SCHOOL,COLEGIO FRIENDLY HIGH SCHOOL0p0AGUA SANTA
7103,AGUA SANTA,397,COLEGIO INMACULADA DE LOURDES,COLEGIO INMACULADA DE LOURDES0p0AGUA SANTA
7103,AGUA SANTA,398,COLEGIO SAGRADOS CORAZONES MONJAS FRANCESAS,COLEGIO SAGRADOS CORAZONES MONJAS FRANCESAS0p0AGUA SANTA
7103,AGUA SANTA,404,COLEGIO WINTERHILL VIÑA DEL MAR,COLEGIO WINTERHILL VIÑA DEL MAR0p0AGUA SANTA
7103,AGUA SANTA,399,ESCUELA BASICA D-316 REPUBLICA DEL ECUADOR,ESCUELA BASICA D-316 REPUBLICA DEL ECUADOR0p0AGUA SANTA
7103,AGUA SANTA,400,"ESCUELA D-346, TEODORO LOWEY","ESCUELA D-346, TEODORO LOWEY0p0AGUA SANTA"
7103,AGUA SANTA,401,ESCUELA LORD COCHRANE,ESCUELA LORD COCHRANE0p0AGUA SANTA
7103,AGUA SANTA,402,ESCUELA PRESIDENTE JOSE MANUEL BALMACEDA,ESCUELA PRESIDENTE JOSE MANUEL BALMACEDA0p0AGUA SANTA
7103,AGUA SANTA,403,LICEO BENJAMIN VICUÑA MACKENNA,LICEO BENJAMIN VICUÑA MACKENNA0p0AGUA SANTA
7491,AISEN,1490,ESCUELA BASICA LITORAL AUSTRAL,ESCUELA BASICA LITORAL AUSTRAL0p0AISEN
7491,AISEN,1488,ESCUELA POETISA GABRIELA MISTRAL,ESCUELA POETISA GABRIELA MISTRAL0p0AISEN
7491,AISEN,2925,LICEO RAUL BROUSSAIN CAMPINO,LICEO RAUL BROUSSAIN CAMPINO0p0AISEN
7491,AISEN,1489,POLIDEPORTIVO AYSEN,POLIDEPORTIVO AYSEN0p0AISEN
7140,ALAMEDA,1694,ESCUELA ARNALDO FALABELLA,ESCUELA ARNALDO FALABELLA0p0ALAMEDA
7140,ALAMEDA,1688,ESCUELA BASICA ARTURO ALESSANDRI PALMA LOCAL: 1,ESCUELA BASICA ARTURO ALESSANDRI PALMA LOCAL: 10p0ALAMEDA
7140,ALAMEDA,1689,ESCUELA BASICA ARTURO ALESSANDRI PALMA LOCAL: 2,ESCUELA BASICA ARTURO ALESSANDRI PALMA LOCAL: 20p0ALAMEDA
7140,ALAMEDA,1692,ESCUELA BASICA PACTO ANDINO LOCAL: 1,ESCUELA BASICA PACTO ANDINO LOCAL: 10p0ALAMEDA
7140,ALAMEDA,1693,ESCUELA BASICA PACTO ANDINO LOCAL: 2,ESCUELA BASICA PACTO ANDINO LOCAL: 20p0ALAMEDA
7140,ALAMEDA,1695,ESCUELA BASICA PROFESOR RAMON DEL RIO LOCAL: 1,ESCUELA BASICA PROFESOR RAMON DEL RIO LOCAL: 10p0ALAMEDA
7140,ALAMEDA,1696,ESCUELA BASICA PROFESOR RAMON DEL RIO LOCAL: 2,ESCUELA BASICA PROFESOR RAMON DEL RIO LOCAL: 20p0ALAMEDA
7140,ALAMEDA,1697,ESCUELA CARLOS CONDELL DE LA HAZA LOCAL: 1,ESCUELA CARLOS CONDELL DE LA HAZA LOCAL: 10p0ALAMEDA
7140,ALAMEDA,1698,ESCUELA CARLOS CONDELL DE LA HAZA LOCAL: 2,ESCUELA CARLOS CONDELL DE LA HAZA LOCAL: 20p0ALAMEDA
7140,ALAMEDA,1690,ESCUELA PARTICULAR JOSE ANTONIO LECAROS,ESCUELA PARTICULAR JOSE ANTONIO LECAROS0p0ALAMEDA
7140,ALAMEDA,1686,LICEO ESTACION CENTRAL LOCAL: 1,LICEO ESTACION CENTRAL LOCAL: 10p0ALAMEDA
7140,ALAMEDA,1687,LICEO ESTACION CENTRAL LOCAL: 2,LICEO ESTACION CENTRAL LOCAL: 20p0ALAMEDA
7140,ALAMEDA,1691,LICEO MADRE VICENCIA,LICEO MADRE VICENCIA0p0ALAMEDA
7610,ALERCE,1424,ESCUELA ALERCE HISTORICO,ESCUELA ALERCE HISTORICO0p0ALERCE
7610,ALERCE,1425,ESCUELA BASICA KIMUN LAWAL,ESCUELA BASICA KIMUN LAWAL0p0ALERCE
7610,ALERCE,1426,INSTITUTO TECNICO FORJADORES DE ALERCE,INSTITUTO TECNICO FORJADORES DE ALERCE0p0ALERCE
7122,ALGARROBO,505,COLEGIO TERESA DE LOS ANDES-ALGARROBO,COLEGIO TERESA DE LOS ANDES-ALGARROBO0p0ALGARROBO
7122,ALGARROBO,504,LICEO TECNICO CARLOS ALESSANDRI ALTAMIRANO,LICEO TECNICO CARLOS ALESSANDRI ALTAMIRANO0p0ALGARROBO
7122,ALGARROBO,2924,LICEO TECNICO CARLOS ALESSANDRI ALTAMIRANO LOCAL: 2,LICEO TECNICO CARLOS ALESSANDRI ALTAMIRANO LOCAL: 20p0ALGARROBO
7218,ALHUE,2423,LICEO MUNICIPAL SARA TRONCOSO TRONCOSO,LICEO MUNICIPAL SARA TRONCOSO TRONCOSO0p0ALHUE
7079,ALTO ACONCAGUA,280,ESCUELA BASICA RIO BLANCO,ESCUELA BASICA RIO BLANCO0p0ALTO ACONCAGUA
