ts,idservel,tM,iM,pM,cM
2021-12-04 13:15:37.448709,2564,43,43,0,100.0
2021-12-04 13:15:37.448709,2801,21,21,0,100.0
2021-12-04 13:15:37.448709,2674,19,19,0,100.0
2021-12-04 13:15:37.448709,2523,18,18,0,100.0
2021-12-04 13:15:37.448709,2502,179,179,0,100.0
2021-12-04 13:15:37.448709,2717,120,120,0,100.0
2021-12-04 13:15:37.448709,2528,35,35,0,100.0
2021-12-04 13:15:37.448709,2696,140,140,0,100.0
2021-12-04 13:15:37.448709,2752,1,1,0,100.0
2021-12-04 13:15:37.448709,2508,854,854,0,100.0
2021-12-04 13:15:37.448709,2662,15,15,0,100.0
2021-12-04 13:15:37.448709,2655,118,118,0,100.0
2021-12-04 13:15:37.448709,2822,559,559,0,100.0
2021-12-04 13:15:37.448709,2739,70,70,0,100.0
2021-12-04 13:15:37.448709,2797,253,253,0,100.0
2021-12-04 13:15:37.448709,2827,67,67,0,100.0
2021-12-04 13:15:37.448709,2554,53,53,0,100.0
2021-12-04 13:15:37.448709,2751,6,6,0,100.0
2021-12-04 13:15:37.448709,2663,74,74,0,100.0
2021-12-04 13:15:37.448709,2512,393,393,0,100.0
2021-12-04 13:15:37.448709,2708,97,97,0,100.0
2021-12-04 13:15:37.448709,2518,45,45,0,100.0
2021-12-04 13:15:37.448709,2559,132,132,0,100.0
2021-12-04 13:15:37.448709,2798,67,67,0,100.0
2021-12-04 13:15:37.448709,2550,34,34,0,100.0
2021-12-04 13:15:37.448709,2823,11,11,0,100.0
2021-12-04 13:15:37.448709,2504,8,8,0,100.0
2021-12-04 13:15:37.448709,2533,30,30,0,100.0
2021-12-04 13:15:37.448709,2656,87,87,0,100.0
2021-12-04 13:15:37.448709,2676,78,78,0,100.0
2021-12-04 13:15:37.448709,2565,55,55,0,100.0
2021-12-04 13:15:37.448709,2542,67,67,0,100.0
2021-12-04 13:15:37.448709,2716,135,135,0,100.0
2021-12-04 13:15:37.448709,2570,36,36,0,100.0
2021-12-04 13:15:37.448709,2622,120,120,0,100.0
2021-12-04 13:15:37.448709,2759,205,205,0,100.0
2021-12-04 13:15:37.448709,2760,350,350,0,100.0
2021-12-04 13:15:37.448709,2733,17,17,0,100.0
2021-12-04 13:15:37.448709,2623,34,34,0,100.0
2021-12-04 13:15:37.448709,2520,38,38,0,100.0
2021-12-04 13:15:37.448709,2603,41,41,0,100.0
2021-12-04 13:15:37.448709,2644,200,200,0,100.0
2021-12-04 13:15:37.448709,2745,20,20,0,100.0
2021-12-04 13:15:37.448709,2826,453,453,0,100.0
2021-12-04 13:15:37.448709,2828,68,68,0,100.0
2021-12-04 13:15:37.448709,2604,90,90,0,100.0
2021-12-04 13:15:37.448709,2695,33,33,0,100.0
2021-12-04 13:15:37.448709,2718,40,40,0,100.0
2021-12-04 13:15:37.448709,2740,18,18,0,100.0
2021-12-04 13:15:37.448709,2836,19,19,0,100.0
2021-12-04 13:15:37.448709,2709,16,16,0,100.0
2021-12-04 13:15:37.448709,2742,13,13,0,100.0
2021-12-04 13:15:37.448709,2580,35,35,0,100.0
2021-12-04 13:15:37.448709,2837,57,57,0,100.0
2021-12-04 13:15:37.448709,2843,73,73,0,100.0
2021-12-04 13:15:37.448709,2581,22,22,0,100.0
2021-12-04 13:15:37.448709,2635,55,55,0,100.0
2021-12-04 13:15:37.448709,2505,14,14,0,100.0
2021-12-04 13:15:37.448709,2793,278,278,0,100.0
2021-12-04 13:15:37.448709,2697,67,67,0,100.0
2021-12-04 13:15:37.448709,2582,48,48,0,100.0
2021-12-04 13:15:37.448709,2537,39,39,0,100.0
2021-12-04 13:15:37.448709,2642,637,637,0,100.0
2021-12-04 13:15:37.448709,2761,387,387,0,100.0
2021-12-04 13:15:37.448709,2543,119,119,0,100.0
2021-12-04 13:15:37.448709,2613,122,122,0,100.0
