ts,idservel,tM,iM,pM,cM
2021-12-05 05:20:16.951066,8000,15,15,0,100.0
2021-12-05 05:20:16.951066,8001,30,30,0,100.0
2021-12-05 05:20:16.951066,8002,15,15,0,100.0
2021-12-05 05:20:16.951066,8003,1,1,0,100.0
2021-12-05 05:20:16.951066,8004,3,3,0,100.0
2021-12-05 05:20:16.951066,8005,3,3,0,100.0
2021-12-05 05:20:16.951066,8006,7,7,0,100.0
2021-12-05 05:20:16.951066,8007,17,17,0,100.0
2021-12-05 05:20:16.951066,8008,1,1,0,100.0
2021-12-05 05:20:16.951066,8009,1,1,0,100.0
2021-12-05 05:20:16.951066,8010,2,2,0,100.0
2021-12-05 05:20:16.951066,8011,1,1,0,100.0
2021-12-05 05:20:16.951066,8012,1,1,0,100.0
2021-12-05 05:20:16.951066,8013,1,1,0,100.0
2021-12-05 05:20:16.951066,8014,4,4,0,100.0
2021-12-05 05:20:16.951066,8015,1,1,0,100.0
2021-12-05 05:20:16.951066,8016,1,1,0,100.0
2021-12-05 05:20:16.951066,8017,1,1,0,100.0
2021-12-05 05:20:16.951066,8018,1,1,0,100.0
2021-12-05 05:20:16.951066,8019,24,24,0,100.0
2021-12-05 05:20:16.951066,8020,31,31,0,100.0
2021-12-05 05:20:16.951066,8021,1,1,0,100.0
2021-12-05 05:20:16.951066,8022,1,1,0,100.0
2021-12-05 05:20:16.951066,8023,1,1,0,100.0
2021-12-05 05:20:16.951066,8024,9,9,0,100.0
2021-12-05 05:20:16.951066,8025,1,1,0,100.0
2021-12-05 05:20:16.951066,8026,1,1,0,100.0
2021-12-05 05:20:16.951066,8027,1,0,1,0.0
2021-12-05 05:20:16.951066,8028,1,1,0,100.0
2021-12-05 05:20:16.951066,8029,1,1,0,100.0
2021-12-05 05:20:16.951066,8030,1,1,0,100.0
2021-12-05 05:20:16.951066,8031,1,1,0,100.0
2021-12-05 05:20:16.951066,8032,1,1,0,100.0
2021-12-05 05:20:16.951066,8033,1,1,0,100.0
2021-12-05 05:20:16.951066,8034,4,4,0,100.0
2021-12-05 05:20:16.951066,8035,1,1,0,100.0
2021-12-05 05:20:16.951066,8036,1,1,0,100.0
2021-12-05 05:20:16.951066,8037,1,1,0,100.0
2021-12-05 05:20:16.951066,8038,1,1,0,100.0
2021-12-05 05:20:16.951066,8039,1,1,0,100.0
2021-12-05 05:20:16.951066,8040,1,1,0,100.0
2021-12-05 05:20:16.951066,8041,3,3,0,100.0
2021-12-05 05:20:16.951066,8042,1,1,0,100.0
2021-12-05 05:20:16.951066,8043,1,1,0,100.0
2021-12-05 05:20:16.951066,8044,5,5,0,100.0
2021-12-05 05:20:16.951066,8045,3,3,0,100.0
2021-12-05 05:20:16.951066,8046,1,1,0,100.0
2021-12-05 05:20:16.951066,8047,1,1,0,100.0
2021-12-05 05:20:16.951066,8048,4,4,0,100.0
2021-12-05 05:20:16.951066,8049,1,1,0,100.0
2021-12-05 05:20:16.951066,8050,1,1,0,100.0
2021-12-05 05:20:16.951066,8051,7,7,0,100.0
2021-12-05 05:20:16.951066,8052,1,1,0,100.0
2021-12-05 05:20:16.951066,8053,1,1,0,100.0
2021-12-05 05:20:16.951066,8054,4,4,0,100.0
2021-12-05 05:20:16.951066,8055,1,1,0,100.0
2021-12-05 05:20:16.951066,8057,1,1,0,100.0
2021-12-05 05:20:16.951066,8058,1,1,0,100.0
2021-12-05 05:20:16.951066,8059,9,9,0,100.0
2021-12-05 05:20:16.951066,8060,4,4,0,100.0
2021-12-05 05:20:16.951066,8061,1,1,0,100.0
2021-12-05 05:20:16.951066,8062,1,1,0,100.0
2021-12-05 05:20:16.951066,8063,1,1,0,100.0
2021-12-05 05:20:16.951066,8064,3,3,0,100.0
2021-12-05 05:20:16.951066,8065,1,1,0,100.0
