ts,idservel,tM,iM,pM,cM
2021-12-05 05:20:16.863118,4122,7,7,0,100.0
2021-12-05 05:20:16.863118,4021,924,924,0,100.0
2021-12-05 05:20:16.863118,4082,473,473,0,100.0
2021-12-05 05:20:16.863118,4151,570,570,0,100.0
2021-12-05 05:20:16.863118,4112,94,94,0,100.0
2021-12-05 05:20:16.863118,4083,1128,1128,0,100.0
2021-12-05 05:20:16.863118,4061,1623,1623,0,100.0
2021-12-05 05:20:16.863118,4113,18,18,0,100.0
2021-12-05 05:20:16.863118,4062,153,153,0,100.0
2021-12-05 05:20:16.863118,4072,180,180,0,100.0
2021-12-05 05:20:16.863118,4091,2273,2273,0,100.0
2021-12-05 05:20:16.863118,4133,519,519,0,100.0
2021-12-05 05:20:16.863118,4032,83,83,0,100.0
2021-12-05 05:20:16.863118,4102,514,514,0,100.0
2021-12-05 05:20:16.863118,4042,240,240,0,100.0
2021-12-05 05:20:16.863118,4063,575,575,0,100.0
2021-12-05 05:20:16.863118,4081,2721,2721,0,100.0
2021-12-05 05:20:16.863118,4031,505,505,0,100.0
2021-12-05 05:20:16.863118,4132,1404,1404,0,100.0
2021-12-05 05:20:16.863118,4111,172,172,0,100.0
2021-12-05 05:20:16.863118,4073,772,772,0,100.0
2021-12-05 05:20:16.863118,4014,127,127,0,100.0
2021-12-05 05:20:16.863118,4161,843,843,0,100.0
2021-12-05 05:20:16.863118,4022,421,421,0,100.0
2021-12-05 05:20:16.863118,4041,1161,1161,0,100.0
2021-12-05 05:20:16.863118,4114,32,32,0,100.0
2021-12-05 05:20:16.863118,4033,196,196,0,100.0
2021-12-05 05:20:16.863118,4011,795,795,0,100.0
2021-12-05 05:20:16.863118,4052,19,19,0,100.0
2021-12-05 05:20:16.863118,4162,197,197,0,100.0
2021-12-05 05:20:16.863118,4043,464,464,0,100.0
2021-12-05 05:20:16.863118,4074,760,760,0,100.0
2021-12-05 05:20:16.863118,4101,1062,1062,0,100.0
2021-12-05 05:20:16.863118,4053,273,273,0,100.0
2021-12-05 05:20:16.863118,4121,408,408,0,100.0
2021-12-05 05:20:16.863118,4134,1165,1165,0,100.0
2021-12-05 05:20:16.863118,4092,650,650,0,100.0
2021-12-05 05:20:16.863118,4058,857,857,0,100.0
2021-12-05 05:20:16.863118,4135,446,446,0,100.0
2021-12-05 05:20:16.863118,4103,704,704,0,100.0
2021-12-05 05:20:16.863118,4104,65,65,0,100.0
2021-12-05 05:20:16.863118,4152,25,25,0,100.0
2021-12-05 05:20:16.863118,4054,225,225,0,100.0
2021-12-05 05:20:16.863118,4163,302,302,0,100.0
2021-12-05 05:20:16.863118,4055,516,516,0,100.0
2021-12-05 05:20:16.863118,4142,296,296,0,100.0
2021-12-05 05:20:16.863118,4056,445,445,0,100.0
2021-12-05 05:20:16.863118,4057,374,374,0,100.0
2021-12-05 05:20:16.863118,4131,13942,13942,0,100.0
2021-12-05 05:20:16.863118,4136,690,690,0,100.0
2021-12-05 05:20:16.863118,4071,1018,1018,0,100.0
2021-12-05 05:20:16.863118,4123,27,27,0,100.0
2021-12-05 05:20:16.863118,4023,92,92,0,100.0
2021-12-05 05:20:16.863118,4124,75,75,0,100.0
2021-12-05 05:20:16.863118,4141,804,804,0,100.0
2021-12-05 05:20:16.863118,4051,2215,2215,0,100.0
