ts,idservel,tM,iM,pM,cM
2021-12-05 05:20:16.836133,3015,595,595,0,100.0
2021-12-05 05:20:16.836133,3001,922,922,0,100.0
2021-12-05 05:20:16.836133,3002,1437,1437,0,100.0
2021-12-05 05:20:16.836133,3003,784,784,0,100.0
2021-12-05 05:20:16.836133,3004,1865,1865,0,100.0
2021-12-05 05:20:16.836133,3005,4924,4924,0,100.0
2021-12-05 05:20:16.836133,3013,18166,18166,0,100.0
2021-12-05 05:20:16.836133,3006,2351,2351,0,100.0
2021-12-05 05:20:16.836133,3007,2730,2730,0,100.0
2021-12-05 05:20:16.836133,3016,1342,1342,0,100.0
2021-12-05 05:20:16.836133,3008,4322,4322,0,100.0
2021-12-05 05:20:16.836133,3009,2923,2923,0,100.0
2021-12-05 05:20:16.836133,3014,1100,1100,0,100.0
2021-12-05 05:20:16.836133,3010,2345,2345,0,100.0
2021-12-05 05:20:16.836133,3011,316,316,0,100.0
2021-12-05 05:20:16.836133,3012,517,517,0,100.0
