c_reg,c_prov,c_com,c_circ
3015,4151,2822,7001
3015,4151,2822,7660
3015,4151,2822,7599
3015,4151,2822,7694
3015,4151,2823,7003
3015,4151,2823,7525
3015,4152,2825,7006
3015,4152,2824,7005
3015,4152,2824,7004
3001,4014,2504,7011
3001,4014,2505,7012
3001,4014,2506,7010
3001,4014,2506,7009
3001,4014,2506,7713
3001,4014,2506,7712
3001,4014,2507,7013
3001,4014,2503,7716
3001,4014,2503,7015
3001,4014,2503,7014
3001,4011,2502,7589
3001,4011,2501,7714
3001,4011,2501,7007
3001,4011,2501,7715
3002,4021,2508,7023
3002,4021,2508,7025
3002,4021,2509,7027
3002,4021,2510,7028
3002,4021,2510,7615
3002,4021,2511,7029
3002,4022,2512,7019
3002,4022,2512,7601
3002,4022,2512,7020
3002,4022,2513,7021
3002,4022,2514,7022
3002,4023,2516,7017
3002,4023,2516,7018
3002,4023,2516,7614
3002,4023,2515,7016
3003,4032,2520,7030
3003,4032,2521,7031
3003,4032,2521,7032
3003,4031,2518,7036
3003,4031,2517,7034
3003,4031,2517,7717
3003,4031,2517,7719
3003,4031,2517,7718
3003,4031,2519,7720
3003,4031,2519,7037
3003,4033,2523,7042
3003,4033,2523,7043
3003,4033,2523,7616
3003,4033,2524,7040
3003,4033,2525,7041
3003,4033,2522,7039
3003,4033,2522,7038
3004,4042,2533,7071
3004,4042,2533,7070
3004,4042,2532,7064
3004,4042,2534,7068
3004,4042,2534,7067
3004,4042,2534,7069
3004,4042,2535,7066
3004,4042,2535,7065
3004,4041,2528,7050
3004,4041,2527,7047
3004,4041,2527,7596
3004,4041,2527,7049
3004,4041,2529,7046
3004,4041,2526,7044
3004,4041,2526,7602
3004,4041,2530,7052
3004,4041,2531,7051
3004,4043,2537,7062
3004,4043,2538,7060
3004,4043,2538,7061
3004,4043,2538,7645
3004,4043,2538,7058
3004,4043,2538,7059
3004,4043,2536,7054
3004,4043,2536,7055
3004,4043,2536,7053
3004,4043,2539,7063
3004,4043,2540,7057
3004,4043,2540,7056
3005,4052,2548,7124
3005,4053,2550,7081
3005,4053,2549,7079
3005,4053,2549,7078
3005,4053,2551,7082
3005,4053,2552,7747
3005,4053,2552,7080
3005,4058,2576,7095
3005,4058,2577,7096
3005,4058,2575,7617
3005,4058,2575,7661
3005,4058,2575,7112
3005,4058,2578,7114
3005,4054,2554,7074
3005,4054,2553,7072
3005,4054,2553,7744
3005,4054,2553,7745
3005,4054,2555,7077
3005,4054,2555,7746
3005,4054,2556,7544
3005,4054,2556,7073
3005,4054,2557,7076
3005,4054,2557,7075
3005,4055,2559,7092
3005,4055,2560,7094
3005,4055,2561,7091
3005,4055,2562,7618
3005,4055,2562,7093
3005,4055,2558,7089
3005,4055,2558,7638
3005,4056,2564,7122
3005,4056,2565,7119
3005,4056,2566,7121
3005,4056,2567,7120
3005,4056,2563,7118
3005,4056,2563,7117
3005,4056,2568,7123
3005,4057,2570,7088
3005,4057,2571,7087
3005,4057,2572,7086
3005,4057,2573,7084
3005,4057,2569,7083
3005,4057,2574,7085
3005,4051,2542,7115
3005,4051,2543,7109
3005,4051,2544,7116
3005,4051,2545,7111
3005,4051,2545,7767
3005,4051,2546,7110
3005,4051,2541,7099
3005,4051,2541,7097
3005,4051,2541,7646
3005,4051,2541,7576
3005,4051,2541,7101
3005,4051,2547,7103
3005,4051,2547,7108
3005,4051,2547,7106
3005,4051,2547,7748
3005,4051,2547,7104
3013,4133,2793,7609
3013,4133,2793,7125
3013,4133,2794,7662
3013,4133,2794,7126
3013,4133,2794,7663
3013,4133,2795,7695
3013,4133,2795,7127
3013,4132,2791,7696
3013,4132,2791,7209
3013,4132,2790,7657
3013,4132,2790,7207
3013,4132,2790,7666
3013,4132,2792,7210
3013,4134,2797,7764
3013,4134,2797,7214
3013,4134,2797,7763
3013,4134,2798,7213
3013,4134,2799,7534
3013,4134,2799,7590
3013,4134,2799,7215
3013,4134,2796,7766
3013,4134,2796,7211
3013,4135,2801,7218
3013,4135,2802,7219
3013,4135,2803,7220
3013,4135,2800,7216
