ts,padron,vt1v,c1v
2021-11-26 16:45:36.114190,14805,8217,55.502
2021-11-26 16:45:36.114190,6118,2519,41.174
2021-11-26 16:45:36.114190,5583,2008,35.966
2021-11-26 16:45:36.114190,5148,1964,38.151
2021-11-26 16:45:36.114190,60343,24569,40.716
2021-11-26 16:45:36.114190,38912,15884,40.82
2021-11-26 16:45:36.114190,11278,4700,41.674
2021-11-26 16:45:36.114190,46976,21445,45.651
2021-11-26 16:45:36.114190,233,47,20.172
2021-11-26 16:45:36.114190,289086,123553,42.739
2021-11-26 16:45:36.114190,4687,1880,40.111
2021-11-26 16:45:36.114190,31244,14605,46.745
2021-11-26 16:45:36.114190,180736,82302,45.537
2021-11-26 16:45:36.114190,22646,9163,40.462
2021-11-26 16:45:36.114190,78010,40106,51.411
2021-11-26 16:45:36.114190,20644,8750,42.385
2021-11-26 16:45:36.114190,18033,7877,43.681
2021-11-26 16:45:36.114190,1862,878,47.154
2021-11-26 16:45:36.114190,25305,10955,43.292
2021-11-26 16:45:36.114190,131956,58027,43.975
2021-11-26 16:45:36.114190,32505,11459,35.253
2021-11-26 16:45:36.114190,15266,7291,47.76
2021-11-26 16:45:36.114190,44870,21673,48.302
2021-11-26 16:45:36.114190,22524,10603,47.074
2021-11-26 16:45:36.114190,11602,6439,55.499
2021-11-26 16:45:36.114190,3196,1067,33.385
2021-11-26 16:45:36.114190,2639,883,33.46
2021-11-26 16:45:36.114190,9203,3903,42.41
2021-11-26 16:45:36.114190,29725,12701,42.728
2021-11-26 16:45:36.114190,24663,9633,39.059
2021-11-26 16:45:36.114190,18730,8833,47.16
2021-11-26 16:45:36.114190,22793,10970,48.129
2021-11-26 16:45:36.114190,41866,17877,42.701
2021-11-26 16:45:36.114190,12173,5237,43.021
2021-11-26 16:45:36.114190,37684,15940,42.299
2021-11-26 16:45:36.114190,66557,31042,46.64
2021-11-26 16:45:36.114190,113693,49011,43.108
2021-11-26 16:45:36.114190,5094,1550,30.428
2021-11-26 16:45:36.114190,9369,3654,39.001
2021-11-26 16:45:36.114190,11980,4934,41.185
2021-11-26 16:45:36.114190,13827,5195,37.571
2021-11-26 16:45:36.114190,68015,34653,50.949
2021-11-26 16:45:36.114190,6423,1941,30.22
2021-11-26 16:45:36.114190,153992,72332,46.971
2021-11-26 16:45:36.114190,22712,11230,49.445
2021-11-26 16:45:36.114190,30692,13482,43.927
2021-11-26 16:45:36.114190,11149,5396,48.399
2021-11-26 16:45:36.114190,13357,5346,40.024
2021-11-26 16:45:36.114190,4642,2115,45.562
2021-11-26 16:45:36.114190,5904,2606,44.14
2021-11-26 16:45:36.114190,4636,1589,34.275
2021-11-26 16:45:36.114190,3384,1440,42.553
2021-11-26 16:45:36.114190,11661,5409,46.385
2021-11-26 16:45:36.114190,15372,7739,50.345
2021-11-26 16:45:36.114190,22439,9745,43.429
2021-11-26 16:45:36.114190,7305,3331,45.599
2021-11-26 16:45:36.114190,18716,7739,41.35
2021-11-26 16:45:36.114190,3217,915,28.443
2021-11-26 16:45:36.114190,94052,47051,50.027
2021-11-26 16:45:36.114190,22172,9624,43.406
2021-11-26 16:45:36.114190,16381,7216,44.051
2021-11-26 16:45:36.114190,12522,5073,40.513
2021-11-26 16:45:36.114190,200269,98931,49.399
