ts,circelec,idservel,mex,padron,vt1v,c1v
2021-11-26 16:48:54.045109,9053,2851,True,28,11,39.286
2021-11-26 16:48:54.045109,9088,2882,True,20,11,55.0
2021-11-26 16:48:54.045109,9091,2884,True,9,7,77.778
2021-11-26 16:48:54.045109,9111,2905,True,100,18,18.0
2021-11-26 16:48:54.045109,9006,2819,True,624,109,17.468
2021-11-26 16:48:54.045109,9007,2824,True,700,128,18.286
2021-11-26 16:48:54.045109,9008,2817,True,2126,1161,54.61
2021-11-26 16:48:54.045109,9009,2816,True,405,64,15.802
2021-11-26 16:48:54.045109,9010,2822,True,291,116,39.863
2021-11-26 16:48:54.045109,9012,2820,True,439,99,22.551
2021-11-26 16:48:54.045109,9013,2815,True,1061,263,24.788
2021-11-26 16:48:54.045109,9014,2825,True,1584,266,16.793
2021-11-26 16:48:54.045109,9015,2826,True,224,68,30.357
2021-11-26 16:48:54.045109,9016,2818,True,720,76,10.556
2021-11-26 16:48:54.045109,9017,2827,True,302,92,30.464
2021-11-26 16:48:54.045109,9018,2823,True,117,37,31.624
2021-11-26 16:48:54.045109,9020,2915,True,216,86,39.815
2021-11-26 16:48:54.045109,9021,2916,True,200,41,20.5
2021-11-26 16:48:54.045109,9022,2821,True,97,37,38.144
2021-11-26 16:48:54.045109,9122,2922,True,259,83,32.046
2021-11-26 16:48:54.045109,9029,2833,True,127,74,58.268
2021-11-26 16:48:54.045109,9030,2834,True,324,166,51.235
2021-11-26 16:48:54.045109,9031,2835,True,166,80,48.193
2021-11-26 16:48:54.045109,9032,2836,True,180,52,28.889
2021-11-26 16:48:54.045109,9033,2837,True,396,143,36.111
2021-11-26 16:48:54.045109,9034,2838,True,1232,341,27.679
2021-11-26 16:48:54.045109,9036,2918,True,432,188,43.519
2021-11-26 16:48:54.045109,9037,2841,True,1942,1068,54.995
2021-11-26 16:48:54.045109,9038,2840,True,218,140,64.22
2021-11-26 16:48:54.045109,9039,2842,True,1501,893,59.494
2021-11-26 16:48:54.045109,9040,2839,True,905,515,56.906
2021-11-26 16:48:54.045109,9041,2919,True,143,105,73.427
2021-11-26 16:48:54.045109,9046,2843,True,391,216,55.243
2021-11-26 16:48:54.045109,9047,2845,True,457,288,63.02
2021-11-26 16:48:54.045109,9049,2847,True,87,55,63.218
2021-11-26 16:48:54.045109,9051,2850,True,489,203,41.513
2021-11-26 16:48:54.045109,9052,2849,True,493,260,52.738
2021-11-26 16:48:54.045109,9054,2853,True,104,57,54.808
2021-11-26 16:48:54.045109,9058,2857,True,916,371,40.502
2021-11-26 16:48:54.045109,9059,2858,True,645,265,41.085
2021-11-26 16:48:54.045109,9060,2859,True,868,426,49.078
2021-11-26 16:48:54.045109,9061,2860,True,2306,1238,53.686
2021-11-26 16:48:54.045109,9062,2861,True,2252,1139,50.577
2021-11-26 16:48:54.045109,9063,2920,True,395,191,48.354
2021-11-26 16:48:54.045109,9064,2862,True,927,474,51.133
2021-11-26 16:48:54.045109,9065,2921,True,500,266,53.2
2021-11-26 16:48:54.045109,9066,2863,True,982,590,60.081
2021-11-26 16:48:54.045109,9073,2869,True,159,95,59.748
2021-11-26 16:48:54.045109,9075,2870,True,11,0,0.0
2021-11-26 16:48:54.045109,9076,2871,True,84,29,34.524
2021-11-26 16:48:54.045109,9085,2879,True,9,7,77.778
2021-11-26 16:48:54.045109,9092,2885,True,1119,543,48.525
2021-11-26 16:48:54.045109,9093,2886,True,68,52,76.471
2021-11-26 16:48:54.045109,9098,2890,True,378,228,60.317
2021-11-26 16:48:54.045109,9099,2891,True,394,208,52.792
2021-11-26 16:48:54.045109,9100,2892,True,946,601,63.531
2021-11-26 16:48:54.045109,9101,2893,True,159,28,17.61
2021-11-26 16:48:54.045109,9107,2898,True,172,104,60.465
2021-11-26 16:48:54.045109,9118,2911,True,434,248,57.143
2021-11-26 16:48:54.045109,9119,2913,True,647,221,34.158
2021-11-26 16:48:54.045109,9120,2912,True,318,109,34.277
2021-11-26 16:48:54.045109,9106,2844,True,85,55,64.706
2021-11-26 16:48:54.045109,9089,2852,True,48,17,35.417
2021-11-26 16:48:54.045109,9055,2854,True,100,45,45.0
2021-11-26 16:48:54.045109,9068,2865,True,22,10,45.455
2021-11-26 16:48:54.045109,9078,2873,True,24,12,50.0
2021-11-26 16:48:54.045109,9079,2874,True,26,6,23.077
2021-11-26 16:48:54.045109,9082,2876,True,267,85,31.835
2021-11-26 16:48:54.045109,9086,2880,True,284,108,38.028
2021-11-26 16:48:54.045109,9087,2881,True,21,10,47.619
2021-11-26 16:48:54.045109,9090,2883,True,20,18,90.0
2021-11-26 16:48:54.045109,9042,2902,True,55,29,52.727
2021-11-26 16:48:54.045109,9043,2900,True,29,13,44.828
2021-11-26 16:48:54.045109,9044,2901,True,58,42,72.414
2021-11-26 16:48:54.045109,9045,2899,True,125,81,64.8
2021-11-26 16:48:54.045109,9109,2904,True,82,57,69.512
2021-11-26 16:48:54.045109,9115,2909,True,45,22,48.889
2021-11-26 16:48:54.045109,9121,2914,True,23,6,26.087
2021-11-26 16:48:54.045109,9001,2811,True,2133,1397,65.495
2021-11-26 16:48:54.045109,9002,2812,True,953,447,46.905
2021-11-26 16:48:54.045109,9003,2813,True,874,477,54.577
2021-11-26 16:48:54.045109,9004,2814,True,962,477,49.584
2021-11-26 16:48:54.045109,9027,2831,True,403,228,56.576
2021-11-26 16:48:54.045109,9028,2832,True,1097,679,61.896
2021-11-26 16:48:54.045109,9048,2846,True,60,36,60.0
2021-11-26 16:48:54.045109,9050,2848,True,403,218,54.094
2021-11-26 16:48:54.045109,9056,2855,True,5072,2469,48.679
2021-11-26 16:48:54.045109,9057,2856,True,2970,1445,48.653
2021-11-26 16:48:54.045109,9108,2864,True,52,29,55.769
2021-11-26 16:48:54.045109,9069,2866,True,265,143,53.962
2021-11-26 16:48:54.045109,9070,2867,True,2986,1402,46.952
2021-11-26 16:48:54.045109,9072,2868,True,113,38,33.628
2021-11-26 16:48:54.045109,9077,2872,True,122,77,63.115
2021-11-26 16:48:54.045109,9081,2875,True,441,241,54.649
2021-11-26 16:48:54.045109,9083,2878,True,760,291,38.289
2021-11-26 16:48:54.045109,9084,2877,True,575,258,44.87
2021-11-26 16:48:54.045109,9094,2887,True,412,168,40.777
2021-11-26 16:48:54.045109,9096,2889,True,1088,648,59.559
2021-11-26 16:48:54.045109,9102,2894,True,102,56,54.902
2021-11-26 16:48:54.045109,9103,2895,True,374,213,56.952
2021-11-26 16:48:54.045109,9104,2896,True,2413,1376,57.024
2021-11-26 16:48:54.045109,9105,2897,True,128,76,59.375
2021-11-26 16:48:54.045109,9035,2903,True,54,15,27.778
2021-11-26 16:48:54.045109,9112,2906,True,2020,1169,57.871
2021-11-26 16:48:54.045109,9113,2907,True,902,394,43.681
2021-11-26 16:48:54.045109,9114,2908,True,1380,630,45.652
2021-11-26 16:48:54.045109,9117,2910,True,33,13,39.394
2021-11-26 16:48:54.045109,9023,2828,True,196,144,73.469
2021-11-26 16:48:54.045109,9024,2829,True,1750,996,56.914
2021-11-26 16:48:54.045109,9025,2917,True,398,260,65.327
2021-11-26 16:48:54.045109,9026,2830,True,2696,1197,44.399
2021-11-26 16:48:54.045109,9123,2923,True,886,447,50.451
2021-11-26 16:48:54.045109,9095,2888,True,833,259,31.092
2021-11-26 16:48:54.045109,7103,396,False,4273,2117,49.544
2021-11-26 16:48:54.045109,7103,397,False,6360,4148,65.22
2021-11-26 16:48:54.045109,7103,398,False,4621,2507,54.252
2021-11-26 16:48:54.045109,7103,404,False,5233,2339,44.697
2021-11-26 16:48:54.045109,7103,399,False,9042,4844,53.572
2021-11-26 16:48:54.045109,7103,400,False,7386,3631,49.161
2021-11-26 16:48:54.045109,7103,401,False,5744,3668,63.858
2021-11-26 16:48:54.045109,7103,402,False,4306,2552,59.266
2021-11-26 16:48:54.045109,7103,403,False,5744,3204,55.78
2021-11-26 16:48:54.045109,7491,1490,False,4649,1932,41.557
2021-11-26 16:48:54.045109,7491,1488,False,5083,1883,37.045
2021-11-26 16:48:54.045109,7491,2925,False,5053,1829,36.196
2021-11-26 16:48:54.045109,7491,1489,False,4696,2012,42.845
2021-11-26 16:48:54.045109,7140,1694,False,5857,2912,49.718
2021-11-26 16:48:54.045109,7140,1688,False,6648,2353,35.394
2021-11-26 16:48:54.045109,7140,1689,False,6691,2472,36.945
2021-11-26 16:48:54.045109,7140,1692,False,6618,2608,39.408
2021-11-26 16:48:54.045109,7140,1693,False,6596,2719,41.222
2021-11-26 16:48:54.045109,7140,1695,False,5939,2485,41.842
2021-11-26 16:48:54.045109,7140,1696,False,5921,2620,44.249
2021-11-26 16:48:54.045109,7140,1697,False,4926,2185,44.356
2021-11-26 16:48:54.045109,7140,1698,False,4979,1801,36.172
2021-11-26 16:48:54.045109,7140,1690,False,4260,2046,48.028
2021-11-26 16:48:54.045109,7140,1686,False,7322,2407,32.874
2021-11-26 16:48:54.045109,7140,1687,False,7411,2983,40.251
2021-11-26 16:48:54.045109,7140,1691,False,5254,2857,54.378
2021-11-26 16:48:54.045109,7610,1424,False,6103,2471,40.488
2021-11-26 16:48:54.045109,7610,1425,False,9188,3688,40.139
2021-11-26 16:48:54.045109,7610,1426,False,9060,3959,43.698
2021-11-26 16:48:54.045109,7122,505,False,3795,2381,62.74
2021-11-26 16:48:54.045109,7122,504,False,5522,2861,51.811
2021-11-26 16:48:54.045109,7122,2924,False,5488,2786,50.765
2021-11-26 16:48:54.045109,7218,2423,False,6118,2519,41.174
2021-11-26 16:48:54.045109,7079,280,False,1145,449,39.214
2021-11-26 16:48:54.045109,7363,1013,False,3124,1190,38.092
2021-11-26 16:48:54.045109,7042,165,False,1501,627,41.772
2021-11-26 16:48:54.045109,7589,39,False,6135,2883,46.993
2021-11-26 16:48:54.045109,7589,40,False,6714,2507,37.34
2021-11-26 16:48:54.045109,7589,37,False,5436,2406,44.26
2021-11-26 16:48:54.045109,7589,42,False,8427,3054,36.241
2021-11-26 16:48:54.045109,7589,41,False,6736,2614,38.806
2021-11-26 16:48:54.045109,7589,43,False,8436,3549,42.07
2021-11-26 16:48:54.045109,7589,35,False,6417,3009,46.891
2021-11-26 16:48:54.045109,7589,38,False,6607,2251,34.07
2021-11-26 16:48:54.045109,7589,36,False,5435,2295,42.226
2021-11-26 16:48:54.045109,7764,2568,False,4426,2114,47.763
2021-11-26 16:48:54.045109,7764,2569,False,4289,1896,44.206
2021-11-26 16:48:54.045109,7467,1372,False,8119,3444,42.419
2021-11-26 16:48:54.045109,7467,1373,False,6534,2439,37.328
