ts,padron,vt1v,c1v
2021-11-26 16:45:36.172156,4922,2798,56.847
2021-11-26 16:45:36.172156,9106,2637,28.959
2021-11-26 16:45:36.172156,5040,2597,51.528
2021-11-26 16:45:36.172156,403,228,56.576
2021-11-26 16:45:36.172156,1097,679,61.896
2021-11-26 16:45:36.172156,710,323,45.493
2021-11-26 16:45:36.172156,1974,616,31.206
2021-11-26 16:45:36.172156,5141,2909,56.584
2021-11-26 16:45:36.172156,391,216,55.243
2021-11-26 16:45:36.172156,85,55,64.706
2021-11-26 16:45:36.172156,457,288,63.02
2021-11-26 16:45:36.172156,60,36,60.0
2021-11-26 16:45:36.172156,87,55,63.218
2021-11-26 16:45:36.172156,403,218,54.094
2021-11-26 16:45:36.172156,982,463,47.149
2021-11-26 16:45:36.172156,28,11,39.286
2021-11-26 16:45:36.172156,48,17,35.417
2021-11-26 16:45:36.172156,104,57,54.808
2021-11-26 16:45:36.172156,100,45,45.0
2021-11-26 16:45:36.172156,8042,3914,48.669
2021-11-26 16:45:36.172156,9791,4923,50.281
2021-11-26 16:45:36.172156,52,29,55.769
2021-11-26 16:45:36.172156,22,10,45.455
2021-11-26 16:45:36.172156,265,143,53.962
2021-11-26 16:45:36.172156,2986,1402,46.952
2021-11-26 16:45:36.172156,113,38,33.628
2021-11-26 16:45:36.172156,159,95,59.748
2021-11-26 16:45:36.172156,11,0,0.0
2021-11-26 16:45:36.172156,84,29,34.524
2021-11-26 16:45:36.172156,122,77,63.115
2021-11-26 16:45:36.172156,24,12,50.0
2021-11-26 16:45:36.172156,26,6,23.077
2021-11-26 16:45:36.172156,441,241,54.649
2021-11-26 16:45:36.172156,267,85,31.835
2021-11-26 16:45:36.172156,1335,549,41.124
2021-11-26 16:45:36.172156,9,7,77.778
2021-11-26 16:45:36.172156,284,108,38.028
2021-11-26 16:45:36.172156,21,10,47.619
2021-11-26 16:45:36.172156,20,11,55.0
2021-11-26 16:45:36.172156,20,18,90.0
2021-11-26 16:45:36.172156,9,7,77.778
2021-11-26 16:45:36.172156,1119,543,48.525
2021-11-26 16:45:36.172156,68,52,76.471
2021-11-26 16:45:36.172156,412,168,40.777
2021-11-26 16:45:36.172156,1719,706,41.07
2021-11-26 16:45:36.172156,1088,648,59.559
2021-11-26 16:45:36.172156,378,228,60.317
2021-11-26 16:45:36.172156,394,208,52.792
2021-11-26 16:45:36.172156,1105,629,56.923
2021-11-26 16:45:36.172156,102,56,54.902
2021-11-26 16:45:36.172156,374,213,56.952
2021-11-26 16:45:36.172156,2413,1376,57.024
2021-11-26 16:45:36.172156,128,76,59.375
2021-11-26 16:45:36.172156,172,104,60.465
2021-11-26 16:45:36.172156,267,165,61.798
2021-11-26 16:45:36.172156,54,15,27.778
2021-11-26 16:45:36.172156,82,57,69.512
2021-11-26 16:45:36.172156,100,18,18.0
2021-11-26 16:45:36.172156,2922,1563,53.491
2021-11-26 16:45:36.172156,1380,630,45.652
2021-11-26 16:45:36.172156,45,22,48.889
2021-11-26 16:45:36.172156,33,13,39.394
2021-11-26 16:45:36.172156,434,248,57.143
2021-11-26 16:45:36.172156,965,330,34.197
2021-11-26 16:45:36.172156,23,6,26.087
