ts,idservel,padron,vt1v,c1v
2021-12-04 15:34:25.102719,3015,191628,85883,44.818
2021-12-04 15:34:25.102719,3001,260147,110304,42.401
2021-12-04 15:34:25.102719,3002,481800,203744,42.288
2021-12-04 15:34:25.102719,3003,242779,107002,44.074
2021-12-04 15:34:25.102719,3004,623580,266892,42.8
2021-12-04 15:34:25.102719,3005,1612630,802982,49.793
2021-12-04 15:34:25.102719,3013,5862179,2907274,49.594
2021-12-04 15:34:25.102719,3006,780303,368870,47.273
2021-12-04 15:34:25.102719,3007,892246,409558,45.902
2021-12-04 15:34:25.102719,3016,430998,193952,45.001
2021-12-04 15:34:25.102719,3008,1337610,620290,46.373
2021-12-04 15:34:25.102719,3009,887606,400100,45.076
2021-12-04 15:34:25.102719,3014,353056,162276,45.963
2021-12-04 15:34:25.102719,3010,746353,330898,44.335
2021-12-04 15:34:25.102719,3011,98558,40697,41.292
2021-12-04 15:34:25.102719,3012,158483,70036,44.191
