ts,idservel,c1,c2,c3,c4,c5,c6,c7,vv,vn,vb,vt,me,tm,cm,w1V
2021-11-26 16:43:19.306967,2564,1978,2877,817,1352,90,472,568,8154,43,20,8217,43,43,100.0,Kast
2021-11-26 16:43:19.306967,2801,636,467,520,320,31,151,359,2484,19,16,2519,21,21,100.0,Boric
2021-11-26 16:43:19.306967,2674,377,502,399,155,40,119,255,1847,81,80,2008,19,19,100.0,Kast
2021-11-26 16:43:19.306967,2523,260,265,891,87,11,56,365,1935,15,14,1964,18,18,100.0,Provoste
2021-11-26 16:43:19.306967,2502,3183,5860,2212,1212,263,1712,9884,24326,173,70,24569,179,179,100.0,Parisi
2021-11-26 16:43:19.306967,2717,3793,4372,2350,1827,230,938,2120,15630,123,131,15884,120,120,100.0,Kast
2021-11-26 16:43:19.306967,2528,1181,661,797,307,64,408,1172,4590,61,49,4700,35,35,100.0,Boric
2021-11-26 16:43:19.306967,2696,2805,9972,2197,2021,153,940,3070,21158,177,110,21445,140,140,100.0,Kast
2021-11-26 16:43:19.306967,2752,4,34,1,2,0,2,4,47,0,0,47,1,1,100.0,Kast
2021-11-26 16:43:19.306967,2508,28116,27242,10136,9973,1632,8858,36254,122211,959,383,123553,854,854,100.0,Parisi
2021-11-26 16:43:19.306967,2662,245,547,332,210,17,91,400,1842,27,11,1880,15,15,100.0,Kast
2021-11-26 16:43:19.306967,2655,2203,4983,1687,1138,123,862,3366,14362,143,100,14605,118,118,100.0,Kast
2021-11-26 16:43:19.306967,2822,14763,24070,7921,6020,952,4536,23033,81295,712,295,82302,559,559,100.0,Kast
2021-11-26 16:43:19.306967,2739,2188,2314,1396,716,126,551,1664,8955,122,86,9163,70,70,100.0,Kast
2021-11-26 16:43:19.306967,2797,10500,11636,3809,4609,513,3189,5237,39493,481,132,40106,253,253,100.0,Kast
2021-11-26 16:43:19.306967,2827,1265,3045,1456,1273,79,458,965,8541,133,76,8750,67,67,100.0,Kast
2021-11-26 16:43:19.306967,2554,2322,1427,1258,663,101,680,1308,7759,76,42,7877,53,53,100.0,Boric
2021-11-26 16:43:19.306967,2751,189,421,74,63,10,28,82,867,6,5,878,6,6,100.0,Kast
2021-11-26 16:43:19.306967,2663,1309,3698,1279,942,88,677,2771,10764,93,98,10955,74,74,100.0,Kast
2021-11-26 16:43:19.306967,2512,8984,11688,4912,3589,595,3910,23638,57316,522,189,58027,393,393,100.0,Parisi
2021-11-26 16:43:19.306967,2708,2162,3387,1432,1099,154,710,2208,11152,141,166,11459,97,97,100.0,Kast
2021-11-26 16:43:19.306967,2518,1516,1263,1680,440,105,458,1741,7203,50,38,7291,45,45,100.0,Parisi
2021-11-26 16:43:19.306967,2559,5607,4012,2027,2066,276,2442,4967,21397,201,75,21673,132,132,100.0,Boric
2021-11-26 16:43:19.306967,2798,2586,3596,1067,1693,115,693,754,10504,59,40,10603,67,67,100.0,Kast
2021-11-26 16:43:19.306967,2550,1304,1365,942,736,91,620,1243,6301,98,40,6439,34,34,100.0,Kast
2021-11-26 16:43:19.306967,2823,111,252,195,57,6,53,375,1049,14,4,1067,11,11,100.0,Parisi
2021-11-26 16:43:19.306967,2504,60,384,47,31,3,16,328,869,7,7,883,8,8,100.0,Kast
2021-11-26 16:43:19.306967,2533,1161,663,851,294,46,134,679,3828,39,36,3903,30,30,100.0,Boric
2021-11-26 16:43:19.306967,2656,1742,6296,1457,894,157,571,1361,12478,122,101,12701,87,87,100.0,Kast
2021-11-26 16:43:19.306967,2676,1226,3976,1748,955,113,497,944,9459,90,84,9633,78,78,100.0,Kast
2021-11-26 16:43:19.306967,2565,2188,2321,1173,971,158,1040,877,8728,68,37,8833,55,55,100.0,Kast
2021-11-26 16:43:19.306967,2542,2850,3330,1254,1386,151,768,1081,10820,106,44,10970,67,67,100.0,Kast
2021-11-26 16:43:19.306967,2716,4868,4448,2414,1868,320,954,2733,17605,149,123,17877,135,135,100.0,Boric
2021-11-26 16:43:19.306967,2570,1220,990,663,591,47,483,1142,5136,62,39,5237,36,36,100.0,Boric
2021-11-26 16:43:19.306967,2622,1999,7100,1967,2379,113,762,1311,15631,182,127,15940,120,120,100.0,Kast
2021-11-26 16:43:19.306967,2759,9637,7190,2971,3812,593,3536,2994,30733,221,88,31042,205,205,100.0,Boric
2021-11-26 16:43:19.306967,2760,15350,8802,5813,4615,1435,7016,5398,48429,360,222,49011,350,350,100.0,Boric
2021-11-26 16:43:19.306967,2733,291,555,304,149,11,69,126,1505,13,32,1550,17,17,100.0,Kast
