ts,idservel,c1,c2,c3,c4,c5,c6,c7,vv,vn,vb,vt,me,tm,cm,w1V
2021-12-05 05:17:27.574579,8000,1867,344,134,252,62,47,65,2771,18,9,2798,15,15,100.0,Boric
2021-12-05 05:17:27.574579,8001,1396,506,237,157,83,145,85,2609,28,6,2643,30,30,100.0,Boric
2021-12-05 05:17:27.574579,8002,1493,428,133,270,50,86,112,2572,15,10,2597,15,15,100.0,Boric
2021-12-05 05:17:27.574579,8003,134,36,20,18,3,5,9,225,3,0,228,1,1,100.0,Boric
2021-12-05 05:17:27.574579,8004,475,45,43,59,26,20,9,677,0,2,679,3,3,100.0,Boric
2021-12-05 05:17:27.574579,8005,46,209,23,20,4,6,13,321,1,1,323,3,3,100.0,Kast
2021-12-05 05:17:27.574579,8006,305,188,43,44,6,8,19,613,1,2,616,7,7,100.0,Boric
2021-12-05 05:17:27.574579,8007,1860,370,166,217,80,89,119,2901,7,1,2909,17,17,100.0,Boric
2021-12-05 05:17:27.574579,8008,54,96,14,40,1,7,4,216,0,0,216,1,1,100.0,Kast
2021-12-05 05:17:27.574579,8009,38,4,5,4,1,0,2,54,1,0,55,1,1,100.0,Boric
2021-12-05 05:17:27.574579,8010,128,89,19,35,3,4,8,286,2,0,288,2,2,100.0,Boric
2021-12-05 05:17:27.574579,8011,12,13,3,7,0,1,0,36,0,0,36,1,1,100.0,Kast
2021-12-05 05:17:27.574579,8012,45,1,3,1,2,2,0,54,0,1,55,1,1,100.0,Boric
2021-12-05 05:17:27.574579,8013,144,19,11,28,1,6,8,217,1,0,218,1,1,100.0,Boric
2021-12-05 05:17:27.574579,8014,134,222,29,55,4,10,8,462,1,0,463,4,4,100.0,Kast
2021-12-05 05:17:27.574579,8015,7,1,1,0,0,2,0,11,0,0,11,1,1,100.0,Boric
2021-12-05 05:17:27.574579,8016,1,10,1,5,0,0,0,17,0,0,17,1,1,100.0,Kast
2021-12-05 05:17:27.574579,8017,11,30,4,11,0,1,0,57,0,0,57,1,1,100.0,Kast
2021-12-05 05:17:27.574579,8018,16,15,0,12,0,0,1,44,0,1,45,1,1,100.0,Boric
2021-12-05 05:17:27.574579,8019,2402,556,235,436,85,63,104,3881,22,11,3914,24,24,100.0,Boric
2021-12-05 05:17:27.574579,8020,1639,1846,322,911,26,81,88,4913,4,6,4923,31,31,100.0,Kast
2021-12-05 05:17:27.574579,8021,13,11,0,3,0,1,1,29,0,0,29,1,1,100.0,Boric
2021-12-05 05:17:27.574579,8022,1,4,1,2,1,0,1,10,0,0,10,1,1,100.0,Kast
2021-12-05 05:17:27.574579,8023,82,27,6,13,5,2,5,140,3,0,143,1,1,100.0,Boric
2021-12-05 05:17:27.574579,8024,1013,97,82,108,41,26,26,1393,7,2,1402,9,9,100.0,Boric
