ts,idservel,c1,c2,c3,c4,c5,c6,c7,vv,vn,vb,vt,me,tm,cm,w1V
2021-11-26 16:43:19.303962,4122,193,455,75,65,10,30,86,914,6,5,925,7,7,100.0,Kast
2021-11-26 16:43:19.303962,4021,29816,28683,11167,10388,1745,9462,39050,130311,1026,420,131757,924,924,100.0,Parisi
2021-11-26 16:43:19.303962,4082,9591,25609,8329,4209,693,3528,10319,62278,680,537,63495,473,473,100.0,Kast
2021-11-26 16:43:19.303962,4151,14874,24322,8116,6077,958,4589,23408,82344,726,299,83369,570,570,100.0,Kast
2021-11-26 16:43:19.303962,4112,2726,3228,1759,969,153,687,1996,11518,141,118,11777,94,94,100.0,Kast
2021-11-26 16:43:19.303962,4083,19560,55729,16960,15774,1298,7461,27452,144234,1349,1095,146678,1128,1128,100.0,Kast
2021-11-26 16:43:19.303962,4061,64105,63218,30323,32840,2898,21282,39387,254053,2476,1503,258032,1623,1623,100.0,Boric
2021-11-26 16:43:19.303962,4113,499,609,346,222,23,69,131,1899,39,42,1980,18,18,100.0,Kast
2021-11-26 16:43:19.303962,4062,5399,5713,4039,4003,278,1416,1730,22578,186,209,22973,153,153,100.0,Kast
2021-11-26 16:43:19.303962,4072,3153,10632,3081,3269,163,1081,1820,23199,311,208,23718,180,180,100.0,Kast
2021-11-26 16:43:19.303962,4091,54316,122248,38695,33894,3296,17731,38160,308340,2851,1830,313021,2273,2273,100.0,Kast
2021-11-26 16:43:19.303962,4133,17341,27145,7041,14204,947,6873,8957,82508,574,317,83399,519,519,100.0,Kast
2021-11-26 16:43:19.303962,4032,2138,1263,2260,470,124,507,2735,9497,91,40,9628,83,83,100.0,Parisi
2021-11-26 16:43:19.303962,4102,14883,15635,10501,6285,932,3401,9832,61469,586,634,62689,514,514,100.0,Kast
2021-11-26 16:43:19.303962,4042,8583,6064,5896,2988,487,2116,7274,33408,281,221,33910,240,240,100.0,Boric
2021-11-26 16:43:19.303962,4063,18283,23420,13893,13429,889,5596,11125,86635,686,544,87865,575,575,100.0,Kast
2021-11-26 16:43:19.303962,4081,88140,117993,47618,43013,5304,29015,74214,405297,3265,1555,410117,2721,2721,100.0,Kast
2021-11-26 16:43:19.303962,4031,14131,13840,13221,5100,936,3963,16912,68103,469,221,68793,505,505,100.0,Parisi
2021-11-26 16:43:19.303962,4132,75422,39135,20769,26247,4389,24095,20769,210826,1931,624,213381,1404,1404,100.0,Boric
2021-11-26 16:43:19.303962,4111,5862,6972,3910,2396,295,1106,2723,23264,221,129,23614,172,172,100.0,Kast
2021-11-26 16:43:19.303962,4073,22907,33349,16611,16104,1197,9034,15065,114267,985,658,115910,772,772,100.0,Kast
2021-11-26 16:43:19.303962,4014,1231,3300,1191,561,104,475,4220,11082,98,63,11243,126,127,99.213,Parisi
2021-11-26 16:43:19.303962,4161,22222,44263,17018,16200,1162,7028,16214,124107,1183,590,125880,843,843,100.0,Kast
2021-11-26 16:43:19.303962,4022,9862,12194,5307,3788,664,4152,24961,60928,566,215,61709,421,421,100.0,Parisi
2021-11-26 16:43:19.303962,4041,46533,39361,20313,19020,2525,12561,32245,172558,1313,719,174590,1161,1161,100.0,Boric
2021-11-26 16:43:19.303962,4114,888,952,559,334,37,155,296,3221,54,51,3326,32,32,100.0,Kast
2021-11-26 16:43:19.303962,4033,4132,3888,11947,1522,264,837,5708,28298,177,106,28581,196,196,100.0,Provoste
2021-11-26 16:43:19.303962,4011,18744,29971,8250,7793,1239,6399,25637,98033,729,299,99061,795,795,100.0,Kast
2021-11-26 16:43:19.303962,4052,972,581,352,314,41,323,311,2894,60,73,3027,19,19,100.0,Boric
2021-11-26 16:43:19.303962,4162,3610,8661,5537,3229,193,1255,3119,25604,280,291,26175,197,197,100.0,Kast
2021-11-26 16:43:19.303962,4043,13089,11574,9783,5402,723,4110,12775,57456,548,388,58392,464,464,100.0,Boric
2021-11-26 16:43:19.303962,4074,19329,37984,14584,13948,859,6658,12927,106289,965,734,107988,760,760,100.0,Kast
2021-11-26 16:43:19.303962,4101,30979,55369,18724,17673,1842,8787,23548,156922,1230,1204,159356,1062,1062,100.0,Kast
