ts,idservel,c1,c2,c3,c4,c5,c6,c7,vv,vn,vb,vt,me,tm,cm,w1V
2021-12-05 05:17:27.433660,3015,15077,25120,8423,6194,983,4703,24295,84795,756,332,85883,595,595,100.0,Kast
2021-12-05 05:17:27.433660,3001,19975,33271,9441,8354,1343,6874,29857,109115,827,362,110304,921,922,99.892,Kast
2021-12-05 05:17:27.433660,3002,41451,42278,17535,14726,2548,14383,68419,201340,1727,677,203744,1437,1437,100.0,Parisi
2021-12-05 05:17:27.433660,3003,20401,18991,27428,7092,1324,5307,25355,105898,737,367,107002,784,784,100.0,Provoste
2021-12-05 05:17:27.433660,3004,68205,56999,35992,27410,3735,18787,52294,263422,2142,1328,266892,1865,1865,100.0,Boric
2021-12-05 05:17:27.433660,3005,223387,211894,81846,95659,13248,63820,104012,793866,6299,2817,802982,4924,4924,100.0,Boric
2021-12-05 05:17:27.433660,3013,892528,721348,294981,439857,51162,256649,220529,2877054,21024,9196,2907274,18166,18166,100.0,Boric
2021-12-05 05:17:27.433660,3006,87787,92351,48255,50272,4065,28294,52242,363266,3348,2256,368870,2351,2351,100.0,Kast
2021-12-05 05:17:27.433660,3007,78911,127027,56249,54919,3782,27457,54961,403306,3835,2417,409558,2730,2730,100.0,Kast
2021-12-05 05:17:27.433660,3016,31684,69887,28341,24598,1703,10486,24155,190854,1848,1250,193952,1342,1342,100.0,Kast
2021-12-05 05:17:27.433660,3008,117291,199331,72907,62996,7295,40004,111985,611809,5294,3187,620290,4322,4322,100.0,Kast
2021-12-05 05:17:27.433660,3009,65294,165988,48741,40948,4069,21826,46926,393792,3771,2537,400100,2923,2923,100.0,Kast
2021-12-05 05:17:27.433660,3014,36981,52915,21783,16277,2054,8681,20911,159602,1431,1243,162276,1100,1100,100.0,Kast
2021-12-05 05:17:27.433660,3010,66520,105763,47913,35552,4027,17508,48408,325691,2739,2468,330898,2345,2345,100.0,Kast
2021-12-05 05:17:27.433660,3011,9975,11761,6574,3921,508,2017,5146,39902,455,340,40697,316,316,100.0,Kast
2021-12-05 05:17:27.433660,3012,21137,19291,6864,5759,668,6627,8738,69084,647,305,70036,517,517,100.0,Boric
